memberIdentifier,givenName,familyName,birthDate,taxIdLast4,postal_code,planName
MEMBER_C_00335,TRACY,Ray,-387158400,9202,15436,Silver HMO
MEMBER_C_00336,ROBERT,Hayes,1981-10-26,4288,34117,Medicare Part A
MEMBER_C_00337,NICOLE,Davis,1974-01-11,7311,28125,Medicare Part A
MEMBER_C_00338,JOSHUA,Mayer,-178156800,4678,90962,Silver HMO
MEMBER_C_00339,STEPHANIE,Murphy,1940-02-29,8047,26238,Bronze EPO
MEMBER_C_00340,KIM,Oconnor,1988-03-28,2009,17791,Silver HMO
MEMBER_C_00341,STEPHEN,Beck,1963-08-23,1213,59251,Silver HMO
MEMBER_C_00342,BRYAN,Ferguson,1954-05-18,2828,93503,Silver HMO
MEMBER_C_00343,RUSSELL,Lewis,1957-09-21,7292,11507,Silver HMO
MEMBER_C_00344,MARIA,Morgan,256867200,5236,87536,Silver HMO
MEMBER_C_00345,ASHLEE,Washington,1962-09-08,5692,93001,Bronze EPO
MEMBER_C_00346,FELICIA,Williams,1946-07-28,1063,72090,Gold PPO
MEMBER_C_00347,KRISTEN,Stevens,-688089600,8882,38059,Bronze EPO
MEMBER_C_00348,MIA,Alexander,1940-01-17,4914,20645,Silver HMO
MEMBER_C_00349,SUSAN,Harris,1985-06-12,2852,47382,Bronze EPO
MEMBER_C_00350,DAVID,Santos,-615686400,8335,29392,Gold PPO
